app.js: line 259, col 45, Error - Parsing error: Binding eval in strict mode
routes\script.js: line 1, col 10, Error - 'redirectToLogin' is defined but never used. (no-unused-vars)
routes\script.js: line 5, col 10, Error - 'loginWithGoogle' is defined but never used. (no-unused-vars)
test\ConceptualContribution.test.mjs: line 5, col 1, Error - 'describe' is not defined. (no-undef)
test\ConceptualContribution.test.mjs: line 8, col 5, Error - 'beforeEach' is not defined. (no-undef)
test\ConceptualContribution.test.mjs: line 30, col 5, Error - 'it' is not defined. (no-undef)
test\ConceptualContribution.test.mjs: line 40, col 5, Error - 'it' is not defined. (no-undef)
test\PracticalContribution.test.mjs: line 5, col 1, Error - 'describe' is not defined. (no-undef)
test\PracticalContribution.test.mjs: line 8, col 5, Error - 'beforeEach' is not defined. (no-undef)
test\PracticalContribution.test.mjs: line 30, col 5, Error - 'it' is not defined. (no-undef)
test\PracticalContribution.test.mjs: line 40, col 5, Error - 'it' is not defined. (no-undef)
test\ReadCSV.test.mjs: line 5, col 13, Error - 'csv' is defined but never used. (no-unused-vars)
test\ReadCSV.test.mjs: line 7, col 1, Error - 'describe' is not defined. (no-undef)
test\ReadCSV.test.mjs: line 11, col 3, Error - 'before' is not defined. (no-undef)
test\ReadCSV.test.mjs: line 18, col 3, Error - 'after' is not defined. (no-undef)
test\ReadCSV.test.mjs: line 25, col 3, Error - 'it' is not defined. (no-undef)
test\ReadCSV.test.mjs: line 30, col 3, Error - 'it' is not defined. (no-undef)
test\ReadCSV.test.mjs: line 41, col 3, Error - 'it' is not defined. (no-undef)
test\ReadCSV.test.mjs: line 48, col 3, Error - 'it' is not defined. (no-undef)
test\ValidPassword.test.mjs: line 4, col 1, Error - 'describe' is not defined. (no-undef)
test\ValidPassword.test.mjs: line 5, col 5, Error - 'it' is not defined. (no-undef)
test\ValidPassword.test.mjs: line 9, col 5, Error - 'it' is not defined. (no-undef)
test\ValidPassword.test.mjs: line 13, col 5, Error - 'it' is not defined. (no-undef)
test\ValidPassword.test.mjs: line 17, col 5, Error - 'it' is not defined. (no-undef)
test\ValidPassword.test.mjs: line 21, col 5, Error - 'it' is not defined. (no-undef)
test\ValidPassword.test.mjs: line 25, col 5, Error - 'it' is not defined. (no-undef)
test\WorkEthic.test.mjs: line 5, col 1, Error - 'describe' is not defined. (no-undef)
test\WorkEthic.test.mjs: line 8, col 5, Error - 'beforeEach' is not defined. (no-undef)
test\WorkEthic.test.mjs: line 30, col 5, Error - 'it' is not defined. (no-undef)
test\WorkEthic.test.mjs: line 40, col 5, Error - 'it' is not defined. (no-undef)
test\acceptance-test.mjs: line 4, col 1, Error - 'describe' is not defined. (no-undef)
test\acceptance-test.mjs: line 8, col 3, Error - 'before' is not defined. (no-undef)
test\acceptance-test.mjs: line 13, col 3, Error - 'after' is not defined. (no-undef)
test\acceptance-test.mjs: line 17, col 3, Error - 'it' is not defined. (no-undef)
test\acceptance-test.mjs: line 23, col 3, Error - 'it' is not defined. (no-undef)
test\acceptance-test.mjs: line 32, col 3, Error - 'it' is not defined. (no-undef)
test\acceptance-test.mjs: line 39, col 3, Error - 'it' is not defined. (no-undef)
test\acceptance-test.mjs: line 47, col 3, Error - 'it' is not defined. (no-undef)
test\acceptance-test.mjs: line 54, col 3, Error - 'it' is not defined. (no-undef)
test\appendToCSV.test.mjs: line 6, col 1, Error - 'describe' is not defined. (no-undef)
test\appendToCSV.test.mjs: line 10, col 3, Error - 'before' is not defined. (no-undef)
test\appendToCSV.test.mjs: line 17, col 3, Error - 'afterEach' is not defined. (no-undef)
test\appendToCSV.test.mjs: line 24, col 3, Error - 'after' is not defined. (no-undef)
test\appendToCSV.test.mjs: line 31, col 3, Error - 'it' is not defined. (no-undef)
test\appendToCSV.test.mjs: line 41, col 3, Error - 'it' is not defined. (no-undef)
test\appendToCSV.test.mjs: line 56, col 3, Error - 'it' is not defined. (no-undef)
test\appendToCSV.test.mjs: line 66, col 3, Error - 'it' is not defined. (no-undef)
test\isAlphanumeric.test.mjs: line 5, col 1, Error - 'describe' is not defined. (no-undef)
test\isAlphanumeric.test.mjs: line 8, col 5, Error - 'it' is not defined. (no-undef)
test\isAlphanumeric.test.mjs: line 13, col 5, Error - 'it' is not defined. (no-undef)
test\isAlphanumeric.test.mjs: line 18, col 5, Error - 'it' is not defined. (no-undef)
test\isAlphanumeric.test.mjs: line 23, col 5, Error - 'it' is not defined. (no-undef)
test\isAlphanumeric.test.mjs: line 28, col 5, Error - 'it' is not defined. (no-undef)
test\isAlphanumeric.test.mjs: line 33, col 5, Error - 'it' is not defined. (no-undef)
test\requireStudentLogin.test.mjs: line 5, col 1, Error - 'describe' is not defined. (no-undef)
test\requireStudentLogin.test.mjs: line 6, col 3, Error - 'it' is not defined. (no-undef)
test\requireStudentLogin.test.mjs: line 18, col 3, Error - 'it' is not defined. (no-undef)
test\requireTeacherLogin.test.mjs: line 5, col 1, Error - 'describe' is not defined. (no-undef)
test\requireTeacherLogin.test.mjs: line 6, col 3, Error - 'it' is not defined. (no-undef)
test\requireTeacherLogin.test.mjs: line 18, col 3, Error - 'it' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 5, col 1, Error - 'describe' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 10, col 5, Error - 'it' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 17, col 5, Error - 'it' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 24, col 5, Error - 'it' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 31, col 5, Error - 'it' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 38, col 5, Error - 'it' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 45, col 5, Error - 'it' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 52, col 5, Error - 'it' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 59, col 5, Error - 'it' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 66, col 5, Error - 'it' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 73, col 5, Error - 'it' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 80, col 6, Error - 'it' is not defined. (no-undef)
test\sentenceCheck.test.mjs: line 87, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 6, col 1, Error - 'describe' is not defined. (no-undef)
test\valid.test.mjs: line 9, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 15, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 21, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 27, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 33, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 39, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 45, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 51, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 57, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 63, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 68, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 73, col 5, Error - 'it' is not defined. (no-undef)
test\valid.test.mjs: line 78, col 5, Error - 'it' is not defined. (no-undef)
test\valid2.test.mjs: line 4, col 1, Error - 'describe' is not defined. (no-undef)
test\valid2.test.mjs: line 5, col 3, Error - 'it' is not defined. (no-undef)

89 problems
